time,network speed test ping (s),jitter (s),upload (bit/s),download (bit/s),charmhub resource download mean (s),min (s),max (s),
2024-12-16T14:09:37+0000,49.36,2.66,378.41,705.83,84.18666666666667,35.01,180.02,
2024-12-16T14:58:56+0000,54.91,3.12,253.44,99.79,209.898,27.81,1210.67,
2024-12-16T15:18:29+0000,110.82,4.93,235.45,510.07,368.665,29.18,1731.5,
2024-12-16T15:58:23+0000,139.27,19.18,188.49,164.78,112.15333333333334,50.5,174.84,
2024-12-16T16:25:17+0000,98.27,2.52,305.57,534.43,156.254,67.35,304.78,
2024-12-16T16:36:55+0000,47.45,2.96,299.2,193.59,284.97,76.04,444.68,
2024-12-16T16:39:59+0000,209.91,13,261.29,369.77,96.39999999999999,36.74,292.83,
2024-12-16T16:54:01+0000,28.91,1.72,132.94,175.36,64.748,28.1,93.34,
2024-12-16T16:58:52+0000,63.45,11.57,5961.1,159,29.618,24.67,46.29,
