time,docker mirror pull mean (s),docker mirror pull min (s),docker mirror pull max (s),
2026-04-28T04:03:54+0000,7.6433333333333335,7.3,8.22,
2026-04-28T04:11:18+0000,7.006666666666667,4.57,8.66,
2026-04-28T04:19:16+0000,5.556666666666667,4.78,6.23,
2026-04-28T05:34:43+0000,4.663333333333333,4.0,5.49,
2026-04-28T06:07:53+0000,24.746666666666666,5.13,43.94,
2026-04-28T08:14:05+0000,21.373333333333335,4.76,54.32,
2026-04-28T19:11:34+0000,17.81,4.35,27.56,
2026-04-29T00:58:04+0000,8.873333333333333,4.96,11.61,
2026-04-29T04:39:43+0000,4.59,4.32,4.88,
2026-04-29T04:44:46+0000,3.87,3.54,4.24,
2026-04-29T05:16:13+0000,9.870000000000001,4.29,20.55,
2026-04-29T05:20:24+0000,4.263333333333333,4.02,4.43,
2026-04-29T07:03:05+0000,4.746666666666667,4.58,4.88,
2026-04-29T09:32:03+0000,5.376666666666667,5.25,5.6,
2026-04-29T12:44:13+0000,4.696666666666667,4.4,5.25,
2026-04-29T18:49:00+0000,4.263333333333334,4.07,4.41,
2026-04-30T00:57:38+0000,6.279999999999999,4.76,9.29,
2026-04-30T07:05:08+0000,4.826666666666667,4.13,6.03,
2026-04-30T12:43:32+0000,4.903333333333333,4.55,5.46,
2026-04-30T18:39:36+0000,4.8,4.09,5.56,
2026-05-01T01:44:35+0000,23.733333333333334,18.56,33.78,
2026-05-01T07:04:54+0000,3.8933333333333335,3.73,4.19,
2026-05-01T12:35:20+0000,28.53,5.3,48.08,
2026-05-01T18:32:01+0000,4.05,3.98,4.09,
2026-05-02T00:55:30+0000,4.823333333333333,4.68,5.02,
2026-05-02T06:48:41+0000,4.803333333333334,4.15,5.82,
2026-05-02T12:30:41+0000,5.316666666666667,4.4,5.9,
2026-05-02T18:31:27+0000,29.97,19.97,41.23,
2026-05-03T01:00:19+0000,5.736666666666666,5.2,6.75,
2026-05-03T07:01:18+0000,27.16,9.42,41.14,
2026-05-03T12:39:57+0000,9.546666666666667,4.37,19.74,
2026-05-03T18:28:48+0000,5.466666666666667,4.9,5.96,
2026-05-04T01:28:22+0000,5.766666666666667,3.81,7.7,
2026-05-04T07:30:48+0000,69.51666666666667,51.66,87.69,
2026-05-04T12:51:37+0000,41.49666666666666,9.09,65.49,
2026-05-05T00:56:16+0000,40.10333333333333,4.72,95.62,
2026-05-05T06:28:22+0000,91.42333333333333,80.3,108.92,
2026-05-05T08:30:42+0000,40.45666666666666,17.26,81.39,
2026-05-05T12:40:57+0000,41.20666666666667,5.51,69.29,
2026-05-05T18:44:30+0000,4.53,4.22,4.88,
2026-05-06T00:54:58+0000,5.8933333333333335,5.16,6.26,
2026-05-06T07:08:28+0000,17.013333333333332,4.51,39.91,
2026-05-06T12:50:57+0000,4.573333333333333,4.4,4.67,
2026-05-06T18:48:11+0000,6.79,3.93,11.69,
2026-05-07T00:57:41+0000,8.153333333333332,5.1,12.11,
2026-05-07T06:17:44+0000,8.35,4.12,16.63,
2026-05-07T07:13:15+0000,12.173333333333334,4.98,26.45,
2026-05-07T13:07:27+0000,7.863333333333333,5.09,12.36,
2026-05-07T18:45:37+0000,4.216666666666667,4.05,4.54,
2026-05-08T00:57:38+0000,5.276666666666666,4.08,7.4,
2026-05-08T06:47:15+0000,6.87,3.67,12.29,
2026-05-08T12:52:18+0000,4.696666666666667,4.37,5.24,
2026-05-11T01:01:51+0000,6.656666666666666,5.89,7.04,
2026-05-11T19:00:37+0000,4.873333333333333,4.35,5.85,
2026-05-12T00:56:40+0000,5.04,4.16,6.68,
2026-05-12T12:55:49+0000,4.8933333333333335,4.06,6.08,
2026-05-12T18:45:57+0000,4.673333333333334,4.58,4.78,
2026-05-13T01:00:47+0000,5.443333333333333,4.85,6.54,
2026-05-13T07:14:22+0000,4.706666666666667,4.12,5.86,
2026-05-13T12:55:06+0000,4.826666666666667,4.57,5.28,
2026-05-13T18:47:23+0000,4.56,4.06,5.07,
2026-05-14T01:02:18+0000,6.906666666666666,5.29,10.08,
2026-05-14T07:11:50+0000,4.45,4.28,4.58,
2026-05-14T13:02:41+0000,14.176666666666666,5.19,29.32,
2026-05-14T18:48:26+0000,5.363333333333333,3.98,7.88,
2026-05-15T00:59:33+0000,5.263333333333334,4.09,6.94,
2026-05-15T07:21:29+0000,4.566666666666666,4.08,5.32,
2026-05-15T12:48:28+0000,4.753333333333334,4.61,4.98,
2026-05-15T18:41:44+0000,4.56,4.43,4.72,
2026-05-16T00:56:25+0000,5.043333333333333,4.04,6.66,
2026-05-16T07:03:48+0000,5.173333333333334,3.97,5.98,
2026-05-16T12:30:48+0000,4.11,3.98,4.36,
2026-05-16T18:26:50+0000,4.376666666666667,3.79,4.76,
2026-05-17T01:15:17+0000,5.6066666666666665,5.19,6.17,
2026-05-17T07:07:27+0000,4.553333333333334,4.33,4.76,
2026-05-17T12:30:11+0000,8.926666666666666,3.99,18.11,
2026-05-17T18:29:45+0000,4.706666666666667,4.18,5.46,
