time,network speed test ping (s),jitter (s),upload (bit/s),download (bit/s),charmhub resource download mean (s),min (s),max (s),
2024-12-16T14:09:11+0000,86.18,6.22,4.86,158.94,40.97,31.64,57.56,
2024-12-16T14:56:32+0000,114.27,11.2,383.25,163.04,237.07299999999998,37.37,1139.55,
2024-12-16T14:58:28+0000,68.82,4.17,738.99,629.53,206.317,28.68,992.75,
2024-12-16T16:06:11+0000,41.36,5.42,585.49,866.45,32.298,25.08,37.87,
2024-12-16T16:29:13+0000,40.09,2.59,411.54,629.07,194.592,27.87,590.23,
2024-12-16T16:36:33+0000,48,8.18,772.51,723.52,293.646,150.49,535.94,
2024-12-16T16:53:11+0000,24.91,1.21,1025.91,1330.37,56.516,40.67,94.3,
2024-12-16T16:59:21+0000,25.09,0.85,1070.09,1342.91,36.168,22.12,57.17,
2024-12-16T17:11:33+0000,33.91,3.73,1152.56,1029.72,33.102000000000004,26.98,50.0,
2024-12-16T17:25:14+0000,32.82,3.05,398.12,579.11,65.712,46.24,117.7,
2024-12-16T18:52:13+0000,25.55,0.7,97.33,1232.61,42.672,24.68,66.6,
2024-12-16T20:48:11+0000,32.45,2.8,325.88,988.61,28.568,22.2,35.71,
2024-12-16T22:48:03+0000,24.45,0.36,1840.54,1433.04,30.006,25.98,33.97,
