time,docker mirror pull mean (s),docker mirror pull min (s),docker mirror pull max (s),
2026-04-28T04:02:24+0000,11.52,4.88,22.71,
2026-04-28T04:11:52+0000,13.15,4.99,28.25,
2026-04-28T04:15:39+0000,5.496666666666667,4.65,6.06,
2026-04-28T05:25:13+0000,4.826666666666666,4.58,5.1,
2026-04-28T06:07:20+0000,93.66,37.1,190.7,
2026-04-28T07:41:29+0000,6.47,5.0,9.18,
2026-04-28T18:41:50+0000,18.173333333333332,4.59,42.08,
2026-04-29T00:57:55+0000,4.473333333333334,4.2,4.88,
2026-04-29T04:38:16+0000,7.986666666666667,4.72,13.96,
2026-04-29T05:16:15+0000,8.83,4.36,17.5,
2026-04-29T05:22:59+0000,6.2700000000000005,4.28,8.34,
2026-04-29T05:24:55+0000,5.46,4.98,6.33,
2026-04-29T07:03:04+0000,5.03,4.83,5.38,
2026-04-29T09:29:47+0000,8.739999999999998,4.71,16.49,
2026-04-29T13:34:02+0000,5.233333333333333,4.56,5.74,
2026-04-29T19:10:55+0000,4.87,4.21,5.3,
2026-04-30T00:57:42+0000,6.416666666666667,5.0,8.55,
2026-04-30T07:12:27+0000,10.083333333333332,4.66,17.81,
2026-04-30T12:44:59+0000,5.62,4.73,6.93,
2026-04-30T18:40:28+0000,4.666666666666667,4.33,4.85,
2026-05-01T01:29:15+0000,4.6466666666666665,4.55,4.74,
2026-05-01T07:05:04+0000,8.973333333333333,4.21,18.48,
2026-05-01T12:32:22+0000,30.816666666666666,5.05,55.33,
2026-05-01T18:33:21+0000,4.683333333333334,4.4,4.99,
2026-05-02T00:55:20+0000,5.366666666666667,4.44,6.21,
2026-05-02T06:53:38+0000,5.46,4.5,6.31,
2026-05-02T12:36:48+0000,7.023333333333333,4.71,11.31,
2026-05-02T18:25:58+0000,7.74,4.54,13.35,
2026-05-03T01:00:18+0000,5.926666666666667,4.14,8.46,
2026-05-03T07:39:47+0000,4.556666666666667,4.12,5.35,
2026-05-03T12:27:59+0000,23.486666666666668,5.23,37.25,
2026-05-03T18:27:36+0000,8.906666666666666,4.97,14.03,
2026-05-04T00:58:08+0000,4.68,4.52,4.94,
2026-05-04T07:40:50+0000,70.83333333333333,54.58,101.99,
2026-05-04T07:56:04+0000,125.91,120.01,137.54,
2026-05-04T12:47:00+0000,32.71,21.93,39.46,
2026-05-04T18:44:17+0000,5.21,4.23,5.97,
2026-05-05T00:55:10+0000,37.943333333333335,10.01,54.96,
2026-05-05T06:30:04+0000,67.89666666666668,45.18,80.89,
2026-05-05T07:00:01+0000,58.72333333333333,20.89,101.38,
2026-05-05T12:36:17+0000,4.756666666666667,4.42,4.99,
2026-05-05T19:10:11+0000,4.843333333333333,4.43,5.34,
2026-05-06T00:53:26+0000,5.4366666666666665,4.79,6.59,
2026-05-06T07:07:09+0000,4.62,4.37,4.82,
2026-05-06T12:50:06+0000,5.543333333333334,4.82,5.95,
2026-05-06T18:45:05+0000,7.953333333333333,4.79,9.99,
2026-05-07T00:57:36+0000,5.673333333333333,4.85,6.58,
2026-05-07T06:21:02+0000,4.806666666666667,4.22,5.95,
2026-05-07T07:12:42+0000,5.3533333333333335,4.36,6.31,
2026-05-07T12:53:32+0000,52.99666666666667,28.87,70.39,
2026-05-07T18:51:41+0000,4.453333333333333,4.36,4.53,
2026-05-08T00:57:45+0000,7.426666666666667,5.32,10.61,
2026-05-08T06:45:57+0000,4.556666666666667,4.39,4.67,
2026-05-08T12:41:13+0000,12.826666666666666,5.39,24.83,
2026-05-10T18:55:24+0000,5.09,4.3,6.59,
2026-05-11T01:01:55+0000,6.33,4.4,9.79,
2026-05-11T07:50:03+0000,5.753333333333334,4.65,7.13,
2026-05-11T13:13:00+0000,4.8100000000000005,4.71,4.94,
2026-05-11T20:42:41+0000,4.866666666666666,4.75,4.96,
2026-05-12T00:56:43+0000,5.386666666666667,4.19,6.03,
2026-05-12T07:20:32+0000,6.633333333333333,4.79,10.04,
2026-05-12T12:52:38+0000,5.986666666666666,4.62,7.87,
2026-05-12T18:47:38+0000,5.1466666666666665,4.73,5.58,
2026-05-13T01:00:53+0000,5.323333333333333,5.2,5.54,
2026-05-13T07:22:34+0000,5.463333333333333,5.08,6.17,
2026-05-13T12:55:08+0000,4.956666666666667,4.25,5.34,
2026-05-13T18:47:27+0000,5.066666666666666,4.85,5.38,
2026-05-14T01:02:17+0000,6.78,4.81,10.59,
2026-05-14T07:11:56+0000,5.263333333333334,5.05,5.59,
2026-05-14T12:48:39+0000,4.886666666666667,4.7,5.18,
2026-05-14T18:48:31+0000,4.67,4.58,4.75,
2026-05-15T00:59:34+0000,4.7,4.24,4.98,
2026-05-15T07:21:31+0000,5.266666666666667,4.8,6.04,
2026-05-15T12:47:19+0000,5.1,4.81,5.64,
2026-05-15T18:41:47+0000,5.196666666666666,4.99,5.34,
2026-05-16T00:56:35+0000,5.88,4.28,8.58,
2026-05-16T06:56:05+0000,5.153333333333333,4.33,6.38,
2026-05-16T12:30:48+0000,5.083333333333333,4.71,5.57,
2026-05-16T18:26:49+0000,4.713333333333333,4.3,5.18,
2026-05-17T01:03:14+0000,5.01,4.33,5.68,
2026-05-17T07:07:30+0000,4.68,4.31,4.89,
2026-05-17T12:29:59+0000,5.726666666666667,4.86,6.17,
2026-05-17T18:29:52+0000,5.746666666666666,4.76,7.02,
2026-05-18T01:04:31+0000,4.536666666666666,4.26,5.04,
2026-05-18T07:37:50+0000,4.35,4.13,4.59,
2026-05-18T14:09:35+0000,5.87,5.14,6.85,
2026-05-18T18:45:40+0000,5.413333333333333,4.89,6.05,
2026-05-19T01:09:27+0000,4.983333333333333,4.18,5.59,
2026-05-19T07:25:40+0000,4.546666666666667,4.29,4.85,
2026-05-20T01:07:19+0000,5.123333333333333,4.16,6.94,
2026-09-03T05:41:10+0000,26.993333333333332,5.15,50.3,
2026-09-03T06:49:30+0000,131.24666666666667,116.09,145.26,
2026-09-03T12:37:25+0000,227.50666666666666,176.17,265.84,
2026-09-03T18:31:00+0000,168.32,138.38,205.47,
2026-09-04T01:01:28+0000,227.97333333333333,219.6,237.69,
