time,docker mirror pull mean (s),docker mirror pull min (s),docker mirror pull max (s),
2026-04-28T04:02:05+0000,2.96,1.93,4.14,
2026-04-28T04:09:37+0000,3.3533333333333335,2.9,3.97,
2026-04-28T04:15:41+0000,4.41,4.32,4.55,
2026-04-28T05:25:08+0000,2.33,2.15,2.68,
2026-04-28T06:02:42+0000,2.8933333333333335,2.1,4.46,
2026-04-28T07:31:49+0000,3.37,2.74,4.51,
2026-04-28T18:43:11+0000,6.0600000000000005,4.58,7.49,
2026-04-29T00:57:56+0000,2.6733333333333333,2.15,3.7,
2026-04-29T04:33:20+0000,2.17,2.04,2.29,
2026-04-29T05:15:55+0000,2.276666666666667,1.87,2.92,
2026-04-29T05:20:25+0000,2.4266666666666667,2.13,2.95,
2026-04-29T07:01:17+0000,2.6766666666666667,2.36,3.04,
2026-04-29T09:29:29+0000,4.6866666666666665,4.17,5.01,
2026-04-29T12:43:58+0000,2.0666666666666664,1.91,2.36,
2026-04-29T18:39:47+0000,2.2,1.85,2.55,
2026-04-30T00:57:37+0000,2.7600000000000002,2.07,4.11,
2026-04-30T07:02:59+0000,2.5766666666666667,2.22,3.19,
2026-04-30T12:43:02+0000,2.263333333333333,2.1,2.56,
2026-04-30T18:39:04+0000,2.4166666666666665,2.19,2.66,
2026-05-01T01:18:37+0000,2.4899999999999998,2.38,2.57,
2026-05-01T07:04:46+0000,2.4433333333333334,1.87,3.0,
2026-05-01T12:31:06+0000,2.2933333333333334,2.16,2.48,
2026-05-01T18:33:18+0000,4.9,4.01,5.91,
2026-05-02T00:55:10+0000,3.526666666666667,2.43,4.37,
2026-05-02T06:48:41+0000,1.9533333333333334,1.75,2.3,
2026-05-02T12:27:23+0000,6.33,4.54,7.94,
2026-05-02T18:25:47+0000,2.5966666666666667,2.22,3.24,
2026-05-03T00:59:52+0000,2.27,2.2,2.4,
2026-05-03T07:01:05+0000,21.936666666666667,4.34,56.37,
2026-05-03T12:27:00+0000,2.1266666666666665,2.0,2.23,
2026-05-03T18:26:00+0000,2.3066666666666666,2.03,2.67,
2026-05-04T00:58:05+0000,2.0433333333333334,1.82,2.44,
2026-05-04T05:30:54+0000,2.5433333333333334,2.01,3.5,
2026-05-04T07:46:27+0000,4.323333333333333,2.82,7.32,
2026-05-04T12:45:29+0000,2.7399999999999998,2.5,3.13,
2026-05-04T18:42:02+0000,5.95,2.79,10.01,
2026-05-05T00:53:27+0000,2.18,1.9,2.48,
2026-05-05T06:18:22+0000,2.583333333333333,2.03,3.17,
2026-05-05T06:56:56+0000,2.5633333333333335,2.01,3.41,
2026-05-05T12:36:07+0000,2.25,1.96,2.72,
2026-05-05T19:21:35+0000,5.816666666666666,4.54,7.88,
2026-05-06T00:53:19+0000,2.3866666666666667,1.92,3.26,
2026-05-06T07:23:58+0000,2.256666666666667,1.98,2.46,
2026-05-06T13:14:38+0000,2.27,2.17,2.39,
2026-05-06T18:43:28+0000,2.94,2.39,3.25,
2026-05-07T00:57:28+0000,2.7766666666666664,2.34,3.32,
2026-05-07T06:17:31+0000,2.36,2.02,2.82,
2026-05-07T07:12:48+0000,4.3133333333333335,4.14,4.44,
2026-05-07T12:57:26+0000,13.866666666666667,5.87,27.77,
2026-05-07T18:49:43+0000,3.1333333333333333,2.49,4.18,
2026-05-08T00:57:35+0000,2.29,2.08,2.67,
2026-05-08T06:45:52+0000,2.3133333333333335,2.13,2.67,
2026-05-08T12:40:41+0000,2.81,2.23,3.11,
2026-05-11T20:10:43+0000,4.3933333333333335,4.21,4.49,
2026-05-12T07:10:19+0000,5.41,4.2,7.06,
2026-05-12T12:52:33+0000,3.14,2.08,5.13,
2026-05-12T18:48:13+0000,2.3966666666666665,2.15,2.59,
2026-05-13T01:00:45+0000,3.0366666666666666,1.87,4.39,
2026-05-13T07:20:52+0000,2.756666666666667,1.97,4.12,
2026-05-13T12:55:05+0000,2.5233333333333334,2.27,2.87,
